      Histogram   Peak#   MatchedTruePeak    Position      PosErr        Diff     Sigma    SigErr      Integral      IntErr
          Ex_d4       6           1.40000     1.40000     0.00000     0.00000   0.05000   0.00847       7.10245     2.81549
          Ex_d4       7           1.60000     1.60000     0.00000     0.00000   0.05846   0.05645       0.78394     0.34195
          Ex_d4       8           1.90000     1.90000     0.00000     0.00000   0.05000   0.05981       0.16095     0.27114
          Ex_d4       9           1.70081     1.70081     0.00000     0.00000   0.05000   0.05424       0.81825     1.35505
          Ex_d4      10           2.10061     2.10061     0.00000     0.00000   0.11996   0.06002       0.16801     0.34052
          Ex_d4      11           2.52335     2.52335     0.00000     0.00000   0.11933   0.06225       0.78484     0.65819
          Ex_d4      12           3.06184     3.06184     0.00000     0.00000   0.09916   0.02389       0.40553     0.48447
          Ex_d4      13           3.13387     3.13387     0.00000     0.00000   0.06642   0.01981       2.04350     1.18047
          Ex_d4      14           3.35820     3.35820     0.00000     0.00000   0.05000   0.04988       1.12932     0.90941
          Ex_d4      15           3.72419     3.72419     0.00000     0.00000   0.05000   0.05978       0.42094     0.48961
          Ex_d4      16           3.79149     3.79149     0.00000     0.00000   0.05000   0.05964       0.00000     0.45761
          Ex_d4      17           3.83917     3.83917     0.00000     0.00000   0.07419   0.00899       0.00000     0.26043
          Ex_d4      18           4.11590     4.11590     0.00000     0.00000   0.06240   0.01165       6.06330     1.14253
          Ex_d4      19           4.22580     4.22580     0.00000     0.00000   0.05000   0.05886       5.00288     1.25714
          Ex_d4      20           4.36015     4.36015     0.00000     0.00000   0.05001   0.06010       1.88729     2.32800
          Ex_d4      21           4.39810     4.39810     0.00000     0.00000   0.12000   0.05870       0.00003     7.92229
          Ex_d4      22           4.65200     4.65200     0.00000     0.00000   0.06183   0.00781       1.77739     1.03473
          Ex_d4      23           4.75300     4.75300     0.00000     0.00000   0.08435   0.05238       8.38403     1.75924
          Ex_d4      24           4.84830     4.84830     0.00000     0.00000   0.05000   0.05545       1.49637     1.89164
          Ex_d4      25           4.86000     4.86000     0.00000     0.00000   0.05001   0.06020       0.48465     1.29969
          Ex_d4      26           4.96360     4.96360     0.00000     0.00000   0.05695   0.01457       0.00026    78.62430
          Ex_d4      27           5.29760     5.29760     0.00000     0.00000   0.12000   0.05770       4.82399     1.67900
          Ex_d5       1           0.93720     0.90720     0.04671    -0.03000   0.05001   0.05415       0.72016     0.47227
          Ex_d5       2           1.04155     1.04155     0.00000     0.00000   0.05000   0.05439       0.00000     0.91269
          Ex_d5       3           1.08054     1.08054     0.00000     0.00000   0.05000   0.05446       0.00000     0.17773
          Ex_d5       4           1.12136     1.12136     0.00000     0.00000   0.09908   0.01501       0.00000     0.22040
          Ex_d5       5           1.40000     1.40000     0.00000     0.00000   0.05000   0.01386       2.62464     0.68342
          Ex_d5       6           1.60000     1.60000     0.00000     0.00000   0.05000   0.04329       0.41380     0.26662
          Ex_d5       7           1.90000     1.90000     0.00000     0.00000   0.05000   0.06005       0.22710     0.27892
          Ex_d5       8           1.70081     1.70081     0.00000     0.00000   0.05000   0.05714       0.06028     0.24124
          Ex_d5       9           2.10061     2.10061     0.00000     0.00000   0.05000   0.05732       0.04597     0.16033
