      Histogram   Peak#   MatchedTruePeak    Position      PosErr        Diff     Sigma    SigErr      Integral      IntErr
          Ex_d5       4           1.12136     1.12136     0.00000     0.00000   0.09906   0.01523       0.00003     0.14668
          Ex_d5       5           1.40000     1.40000     0.00000     0.00000   0.05000   0.00037       2.62398     0.69290
          Ex_d5       6           1.60000     1.60000     0.00000     0.00000   0.05000   0.00010       0.41403     0.24107
          Ex_d5       7           1.90000     1.90000     0.00000     0.00000   0.05000   0.00017       0.22680     0.19306
          Ex_d5       8           1.70081     1.70081     0.00000     0.00000   0.05000   0.00012       0.05958     0.25539
          Ex_d5       9           2.10061     2.10061     0.00000     0.00000   0.05000   0.00020       0.04533     0.15166
          Ex_d5      10           2.52335     2.52335     0.00000     0.00000   0.05000   0.00017       0.02308     0.07676
          Ex_d5      11           3.06184     3.06184     0.00000     0.00000   0.05000   0.00078       0.00004     0.07158
          Ex_d5      12           3.13387     3.13387     0.00000     0.00000   0.06772   0.02537       0.66668     0.45948
          Ex_d5      13           3.35820     3.35820     0.00000     0.00000   0.11999   0.05239       1.11574     0.66096
          Ex_d5      14           3.72419     3.72419     0.00000     0.00000   0.05004   0.00098       0.96096     0.57891
          Ex_d5      15           3.79149     3.79149     0.00000     0.00000   0.05000   0.00098       0.00000     0.14383
          Ex_d5      16           3.83917     3.83917     0.00000     0.00000   0.10438   0.01521       0.00000     0.15583
          Ex_d5      17           4.11590     4.11590     0.00000     0.00000   0.05000   0.01005       4.48199     1.01664
          Ex_d5      18           4.22580     4.22580     0.00000     0.00000   0.06724   0.01173       2.58918     0.80510
          Ex_d5      19           4.36015     4.36015     0.00000     0.00000   0.05000   0.00017       3.10341     0.84415
          Ex_d5      20           4.39810     4.39810     0.00000     0.00000   0.05000   0.00064       0.00002     0.04380
          Ex_d5      21           4.65200     4.65200     0.00000     0.00000   0.09804   0.01337       0.00005     0.04010
          Ex_d5      22           4.75300     4.75300     0.00000     0.00000   0.05584   0.01465       5.27663     1.21853
          Ex_d5      23           4.84830     4.84830     0.00000     0.00000   0.05000   0.00118       1.80310     0.89188
          Ex_d5      24           4.86000     4.86000     0.00000     0.00000   0.05000   0.00115       0.00000     0.07787
          Ex_d5      25           4.96360     4.96360     0.00000     0.00000   0.07911   0.01261       0.00000     0.07655
          Ex_d5      26           5.29760     5.29760     0.00000     0.00000   0.05000   0.00041       4.81950     1.12077

